occurrences,term
46522,of the
38460,in the
21650,to the
18628,on the
17025,to be
14633,and the
14611,for the
11985,it was
11983,it is
11863,at the
10913,with the
9419,from the
8132,if you
7934,one of
7660,this is
7589,is the
7197,that the
6954,will be
6420,to get
6298,of my
6295,to do
6272,by the
6147,you can
6105,want to
6094,have to
6072,going to
5908,out of
5845,have been
5644,all the
5451,to make
5413,the first
5378,in my
5276,the same
5013,they are
4805,there is
4667,into the
4513,would be
4503,as the
4461,that is
4410,to see
4384,there are
4358,and then
4295,you are
4244,about the
4226,has been
4185,to have
4132,he was
4132,is not
4022,we are
3982,and it
3916,need to
3902,you have
3763,the world
3621,all of
3570,to go
3553,the most
3549,the other
3497,we have
3482,able to
3481,of this
3470,some of
3470,over the
3469,in this
3455,as well
3386,but it
3358,can be
3348,that it
3330,for me
3307,part of
3233,is that
3224,the way
3213,was the
3203,the time
3175,lot of
3136,to me
3083,of course
3058,had to
3036,back to
3012,that we
2992,on my
2988,more than
2985,but the
2969,that you
2960,me to
2941,and that
2909,that was
2906,at least
2903,the best
2818,they were
2816,trying to
2802,the last
2779,to take
2738,that he
2737,which is
2735,the end
2726,up to
2713,to my
2695,to say
2680,that they
2662,of his
2657,kind of
2654,wanted to
2646,there was
2632,we were
2606,of our
2604,the next
2581,through the
2565,she was
2553,he is
2553,so much
2551,and we
2485,time to
2454,with my
2439,of them
2401,do you
2359,when you
2329,you know
2299,would have
2258,it to
2252,of it
2232,the new
2231,the only
2228,it and
2226,to find
2218,of their
2197,like to
2189,how to
2183,do not
2161,when the
2138,most of
2106,in his
2100,like the
2099,is to
2095,way to
2091,the day
2085,for my
2083,you will
2082,should be
2075,it would
2073,be the
2039,and he
2036,and have
2033,up with
2030,up and
2025,end of
2011,have the
2003,of these
1994,up the
1990,we had
1988,out the
1986,and they
1978,around the
1975,had been
1954,and you
1946,not to
1945,are the
1918,to keep
1910,they have
1902,of all
1892,of your
1874,of us
1867,it will
1861,it has
1859,in our
1848,for this
1839,are not
1835,know that
1830,and was
1824,the book
1816,and in
1813,this was
1806,go to
1805,decided to
1800,what is
1798,and my
1788,is an
1787,so that
1786,me and
1780,when we
1778,couple of
1774,well as
1758,about it
1756,as it
1754,of her
1753,did not
1747,you to
1740,in their
1732,you want
1727,you re
1714,and to
1712,we can
1708,she is
1703,used to
1700,to work
1697,the right
1687,in your
1678,to use
1673,the fact
1672,of those
1665,this week
1653,to give
1652,look at
1646,it in
1630,and not
1630,to know
1628,this year
1625,during the
1623,the rest
1623,at all
1616,try to
1615,because of
1614,it all
1613,the past
1606,see the
1603,on this
1603,was not
1602,the whole
1599,that she
1596,the one
1590,such as
1585,my life
1582,may be
1582,and his
1572,so many
1565,for you
1552,fact that
1552,enough to
1549,not only
1545,be able
1543,of you
1541,know what
1539,to help
1531,the story
1530,them to
1527,after the
1525,was in
1518,he has
1512,he had
1512,not the
1501,if the
1501,those who
1499,my own
1494,bit of
1492,of that
1492,the top
1483,when it
1479,and so
1479,people who
1475,off the
1473,lots of
1471,when he
1470,as we
1465,not be
1456,of what
1455,what you
1454,out to
1443,because it
1436,could be
1435,in an
1432,in fact
1431,if it
1429,is in
1425,went to
1419,is no
1416,does not
1416,get to
1413,that are
1408,and is
1406,the house
1406,to come
1405,that this
1402,to this
1400,that have
1399,that would
1398,thank you
1393,instead of
1386,with her
1386,up in
1386,in and
1379,and she
1377,there were
1377,the people
1375,rest of
1364,than the
1364,make it
1363,ve been
1361,this time
1360,is one
1360,their own
1354,and all
1352,or the
1350,as you
1343,this one
1343,according to
1342,if they
1340,time and
1331,number of
1330,get the
1322,years ago
1321,that there
1321,to you
1319,who are
1316,what the
1314,each other
1310,many of
1309,the two
1308,when they
1308,do it
1307,down the
1305,to her
1303,out and
1297,new york
1296,so we
1296,in her
1293,here is
1289,that will
1289,and if
1288,no one
