occurrences,term
69253,of the
64027,in the
34519,to the
31434,on the
31146,for the
27675,to be
22110,at the
20989,and the
17343,it was
17091,with the
16017,it is
15045,if you
13995,from the
13006,will be
12803,going to
12753,is the
12144,one of
11781,to get
11062,want to
11031,this is
10688,have to
10538,that the
10270,to do
10020,you can
9709,out of
9692,by the
9249,to see
9179,all the
8922,the first
8882,of my
8347,the same
8307,have been
8298,to make
8201,you are
8139,in my
8103,you re
7721,need to
7386,would be
7342,you have
7022,they are
6924,about the
6867,to go
6853,thanks for
6845,to have
6829,we are
6768,he was
6757,has been
6674,there is
6624,as the
6563,that is
6523,the best
6480,thank you
6430,into the
6217,is not
6213,the world
6024,there are
5852,more than
5808,and it
5675,do you
5673,we have
5667,and then
5661,the most
5651,on my
5576,so much
5408,all of
5297,but it
5280,over the
5238,trying to
5166,back to
5153,part of
5146,for me
5138,when you
5127,can be
5127,to me
5087,as well
5044,lot of
5001,the way
4981,able to
4960,was the
4920,you know
4905,some of
4889,at least
4826,in this
4825,the other
4822,but the
4779,is that
4776,the new
4766,that was
4706,are you
4671,we re
4655,the time
4560,time to
4540,the last
4513,that it
4510,up to
4503,to my
4493,of this
4451,me to
4439,that you
4323,to take
4259,had to
4223,go to
4193,and that
4191,the next
4159,of course
4139,way to
4105,with my
4084,kind of
4081,to say
4067,that he
4043,the end
4034,right now
4020,of his
4000,he is
3961,should be
3943,the only
3940,he said
3938,and we
3925,the day
3915,that we
3876,they were
3837,of our
3793,be the
3693,how to
3651,like to
3649,wanted to
3617,it to
3577,like the
3566,which is
3536,when the
3512,through the
3510,this year
3498,we can
3477,that they
3469,she was
3467,there was
3464,would have
3421,and you
3412,for you
3403,for my
3395,of them
3390,in his
3389,are the
3373,we were
3356,what you
3339,have the
3323,to find
3275,of it
3269,out the
3247,it would
3241,up with
3235,is to
3224,this week
3219,you want
3194,to work
3188,of your
3179,up the
3143,end of
3137,up and
3097,and he
3091,you to
3088,of their
3084,do not
3070,to you
3049,what is
3046,it will
3044,in your
3029,to keep
3006,you will
2996,know what
2991,most of
2980,it and
2957,not to
2949,me and
2939,and they
2907,they have
2903,according to
2892,ll be
2845,they re
2820,around the
2808,about it
2781,ve been
2778,my life
2778,to help
2775,and have
2774,make it
2763,out to
2752,for this
2750,do it
2739,used to
2738,to know
2737,forward to
2733,love you
2733,of all
2726,after the
2723,last night
2706,is it
2706,during the
2680,the right
2677,of you
2655,off the
2641,did not
2635,had been
2635,try to
2629,it all
2629,and my
2629,is an
2624,are not
2620,new york
2619,to come
2618,of us
2618,because of
2616,see the
2614,can wait
2607,could be
2596,look at
