,occurrences,term
0,69253,of the
1,64027,in the
2,34519,to the
3,31434,on the
4,31146,for the
5,27675,to be
6,22110,at the
7,20989,and the
8,17343,it was
9,17091,with the
10,16017,it is
11,15045,if you
12,13995,from the
13,13006,will be
14,12803,going to
15,12753,is the
16,12144,one of
17,11781,to get
18,11062,want to
19,11031,this is
20,10688,have to
21,10538,that the
22,10270,to do
23,10020,you can
24,9709,out of
25,9692,by the
26,9249,to see
27,9179,all the
28,8922,the first
29,8882,of my
30,8347,the same
31,8307,have been
32,8298,to make
33,8201,you are
34,8139,in my
35,8103,you re
36,7721,need to
37,7386,would be
38,7342,you have
39,7022,they are
40,6924,about the
41,6867,to go
42,6853,thanks for
43,6845,to have
44,6829,we are
45,6768,he was
46,6757,has been
47,6674,there is
48,6624,as the
49,6563,that is
50,6523,the best
51,6480,thank you
52,6430,into the
53,6217,is not
54,6213,the world
55,6024,there are
56,5852,more than
57,5808,and it
58,5675,do you
59,5673,we have
60,5667,and then
61,5661,the most
62,5651,on my
63,5576,so much
64,5408,all of
65,5297,but it
66,5280,over the
67,5238,trying to
68,5166,back to
69,5153,part of
70,5146,for me
71,5138,when you
72,5127,can be
73,5127,to me
74,5087,as well
75,5044,lot of
76,5001,the way
77,4981,able to
78,4960,was the
79,4920,you know
80,4905,some of
81,4889,at least
82,4826,in this
83,4825,the other
84,4822,but the
85,4779,is that
86,4776,the new
87,4766,that was
88,4706,are you
89,4671,we re
90,4655,the time
91,4560,time to
92,4540,the last
93,4513,that it
94,4510,up to
95,4503,to my
96,4493,of this
97,4451,me to
98,4439,that you
99,4323,to take
100,4259,had to
101,4223,go to
102,4193,and that
103,4191,the next
104,4159,of course
105,4139,way to
106,4105,with my
107,4084,kind of
108,4081,to say
109,4067,that he
110,4043,the end
111,4034,right now
112,4020,of his
113,4000,he is
114,3961,should be
115,3943,the only
116,3940,he said
117,3938,and we
118,3925,the day
119,3915,that we
120,3876,they were
121,3837,of our
122,3793,be the
123,3693,how to
124,3651,like to
125,3649,wanted to
126,3617,it to
127,3577,like the
128,3566,which is
129,3536,when the
130,3512,through the
131,3510,this year
132,3498,we can
133,3477,that they
134,3469,she was
135,3467,there was
136,3464,would have
137,3421,and you
138,3412,for you
139,3403,for my
140,3395,of them
141,3390,in his
142,3389,are the
143,3373,we were
144,3356,what you
145,3339,have the
146,3323,to find
147,3275,of it
148,3269,out the
149,3247,it would
150,3241,up with
151,3235,is to
152,3224,this week
153,3219,you want
154,3194,to work
155,3188,of your
156,3179,up the
157,3143,end of
158,3137,up and
159,3097,and he
160,3091,you to
161,3088,of their
162,3084,do not
163,3070,to you
164,3049,what is
165,3046,it will
166,3044,in your
167,3029,to keep
168,3006,you will
169,2996,know what
170,2991,most of
171,2980,it and
172,2957,not to
173,2949,me and
174,2939,and they
175,2907,they have
176,2903,according to
177,2892,ll be
178,2845,they re
179,2820,around the
180,2808,about it
181,2781,ve been
182,2778,my life
183,2778,to help
184,2775,and have
185,2774,make it
186,2763,out to
187,2752,for this
188,2750,do it
189,2739,used to
190,2738,to know
191,2737,forward to
192,2733,love you
193,2733,of all
194,2726,after the
195,2723,last night
196,2706,is it
197,2706,during the
198,2680,the right
199,2677,of you
200,2655,off the
201,2641,did not
202,2635,had been
203,2635,try to
204,2629,it all
205,2629,and my
206,2629,is an
207,2624,are not
208,2620,new york
209,2619,to come
210,2618,of us
211,2618,because of
212,2616,see the
213,2614,can wait
214,2607,could be
215,2596,look at
216,2595,of those
217,2590,know that
218,2587,we had
219,2584,in our
220,2584,get to
221,2579,it in
222,2574,it has
223,2572,if the
224,2555,so many
225,2550,the past
226,2543,he has
227,2526,when he
228,2519,on this
229,2517,and in
230,2510,at all
231,2507,is in
232,2505,in their
233,2504,to give
234,2500,what the
235,2486,the one
236,2475,and was
237,2475,may be
238,2472,the city
239,2469,last year
240,2468,and his
241,2456,people who
242,2447,the rest
243,2445,of these
244,2445,is so
245,2444,not the
246,2441,year old
247,2435,let me
248,2429,such as
249,2428,looking for
250,2421,no one
251,2415,if it
252,2413,when it
253,2411,get the
254,2401,well as
255,2397,that would
256,2394,in and
257,2390,to use
258,2389,up in
259,2384,she is
260,2375,and not
261,2366,when we
262,2363,is going
263,2363,the state
264,2360,it the
265,2356,in an
266,2355,lots of
267,2346,hope you
268,2345,you get
269,2335,and to
270,2327,you think
271,2325,for your
272,2323,the top
273,2322,on your
274,2317,see you
275,2316,be able
276,2310,he had
277,2305,we will
278,2305,with you
279,2302,said the
280,2299,if they
281,2286,of her
282,2281,as it
283,2280,the whole
284,2280,you do
285,2279,who is
286,2276,of that
287,2271,you and
288,2269,was in
289,2266,couple of
290,2256,those who
291,2253,it not
292,2248,don know
293,2247,did you
294,2242,feel like
295,2234,them to
296,2222,enough to
297,2210,was not
298,2208,the year
299,2202,the second
300,2201,not be
301,2186,so that
302,2180,the book
303,2180,be in
304,2176,the house
305,2171,decided to
306,2170,love to
307,2164,the fact
308,2161,for all
309,2159,you for
310,2157,instead of
311,2150,with me
312,2146,went to
313,2139,is no
314,2138,to all
315,2135,you don
316,2134,the game
317,2133,years ago
318,2129,when they
319,2118,than the
320,2113,this was
321,2110,the people
322,2095,rest of
323,2085,before the
324,2084,we ll
325,2077,to your
326,2075,you need
327,2073,check out
328,2069,to play
329,2068,and other
330,2065,back in
331,2062,is one
332,2061,to start
333,2051,does not
334,2048,number of
335,2037,is my
336,2033,to this
337,2031,that will
338,2029,ready to
339,2022,out and
340,2022,how much
341,2017,can get
342,2016,this morning
343,2012,come to
344,2010,who are
345,2005,to hear
346,1997,that she
347,1992,out there
348,1988,down the
349,1982,hard to
350,1979,my favorite
351,1978,the two
352,1975,so far
353,1973,you ll
354,1968,too much
355,1967,not only
356,1962,because it
357,1961,away from
358,1953,and all
359,1952,said he
360,1951,fact that
361,1949,it just
362,1949,up for
363,1943,that are
364,1943,first time
365,1939,and is
366,1938,up on
367,1934,of what
368,1931,each other
369,1931,might be
370,1926,last week
371,1924,it out
372,1919,love the
373,1915,this time
374,1913,my own
375,1909,but not
376,1906,where the
377,1906,as we
378,1904,can do
379,1903,in that
380,1895,and so
381,1895,you should
382,1887,will have
383,1887,looking forward
384,1887,that have
385,1886,on his
386,1883,follow me
387,1882,the story
388,1867,if we
389,1867,wait to
390,1862,as you
391,1858,make sure
392,1858,like it
393,1858,with her
394,1855,she said
395,1854,or the
396,1848,to his
397,1847,but he
398,1838,have you
399,1836,their own
400,1834,time for
401,1832,the th
402,1832,is just
403,1831,got to
404,1830,many of
405,1828,what we
406,1825,to try
407,1819,for some
408,1819,so we
409,1817,and will
410,1812,there were
411,1812,this one
412,1810,of people
413,1810,and she
414,1805,of an
415,1792,but they
416,1790,bit of
417,1788,it up
418,1784,say that
419,1784,and more
420,1784,under the
421,1783,but we
422,1781,high school
423,1781,in her
424,1781,you like
425,1779,like that
426,1777,make the
427,1775,as much
428,1774,to our
429,1770,must be
430,1770,have no
431,1770,we need
432,1769,this weekend
433,1769,for it
434,1769,thanks to
435,1768,as they
436,1764,time and
437,1756,for an
438,1755,think it
439,1754,as an
440,1752,about to
441,1750,to put
442,1742,and if
443,1741,at this
444,1741,to it
445,1740,but that
446,1732,they can
447,1732,it on
448,1731,on it
449,1730,to her
450,1729,what they
451,1724,we ve
452,1716,don have
453,1709,in fact
454,1695,is what
455,1695,with his
456,1687,working on
457,1683,me that
458,1681,that this
459,1678,and there
460,1676,and get
461,1673,know how
462,1673,but you
463,1673,that there
464,1666,across the
465,1665,with this
466,1664,you were
467,1663,wants to
468,1660,was so
469,1660,from my
470,1659,to look
471,1656,to watch
472,1655,going on
473,1652,for our
474,1652,that can
475,1651,you guys
476,1645,ready for
477,1645,get it
478,1645,him to
479,1644,like this
480,1643,down to
481,1642,you ve
482,1641,what do
483,1640,had the
484,1632,with your
485,1630,said that
486,1628,to tell
487,1622,even though
488,1621,can you
489,1619,think of
490,1618,talking about
491,1617,was just
492,1613,what it
493,1605,think that
494,1604,along with
495,1604,to share
496,1603,as he
497,1602,my first
498,1601,and its
499,1601,to read
500,1598,you could
501,1595,the big
502,1593,due to
503,1592,in which
504,1591,has to
505,1589,even if
506,1585,tell you
507,1584,rather than
508,1584,for his
509,1583,my mom
510,1582,love it
511,1578,looks like
512,1575,for her
513,1570,sort of
514,1570,not sure
515,1564,are in
516,1561,it for
517,1558,for that
518,1558,with an
519,1557,us to
520,1555,in order
521,1555,all that
522,1553,is still
523,1551,we all
524,1550,to think
525,1547,and what
526,1547,seems to
527,1546,needs to
528,1545,based on
529,1544,to meet
530,1542,and how
531,1542,on their
532,1540,and now
533,1537,to write
534,1536,against the
535,1533,with it
536,1531,will not
537,1529,to win
538,1528,are so
539,1527,better than
540,1524,is very
541,1522,full of
542,1519,you all
543,1515,was going
544,1514,if he
545,1513,is also
546,1512,the country
547,1508,im not
548,1504,so it
549,1503,could have
550,1502,the word
551,1497,that my
552,1496,who has
553,1493,is on
554,1492,in one
555,1490,who was
556,1490,because the
557,1487,for us
558,1483,seem to
559,1479,and this
560,1477,can see
561,1475,the show
562,1474,because they
563,1473,day of
564,1470,on to
565,1469,side of
566,1468,for more
567,1467,that has
568,1464,they will
569,1463,at home
570,1460,think about
571,1460,here is
572,1459,talk about
573,1459,tried to
574,1452,front of
575,1451,it so
576,1444,the night
577,1442,not have
578,1441,the middle
579,1441,is good
580,1441,the back
581,1435,to their
582,1431,and for
583,1429,said it
584,1425,how many
585,1424,out in
586,1420,should have
587,1420,the more
588,1418,on our
589,1413,out for
590,1413,the future
591,1413,about this
592,1410,your own
593,1407,do the
594,1402,it but
595,1401,and her
596,1400,have an
597,1400,may have
598,1398,and their
599,1397,top of
600,1396,listening to
601,1396,one day
602,1393,on that
603,1393,what was
604,1391,and had
605,1391,supposed to
606,1390,the company
607,1389,you see
608,1387,of time
609,1386,to live
610,1386,for their
611,1383,any of
612,1381,much more
613,1376,the kids
614,1376,with all
615,1376,is now
616,1375,between the
617,1372,me in
618,1371,on twitter
619,1369,she has
620,1368,in it
621,1363,would like
622,1363,you in
623,1357,for those
624,1352,with some
625,1351,and just
626,1350,who have
627,1349,it with
628,1348,at my
629,1345,its not
630,1343,live in
631,1341,of me
632,1341,makes me
633,1340,tell me
634,1339,do with
635,1338,off to
636,1337,they had
637,1337,so you
638,1337,we do
639,1336,and are
640,1335,the idea
641,1334,chance to
642,1332,them and
643,1331,are going
644,1329,in front
645,1329,to stop
646,1329,told me
647,1328,people are
648,1327,next week
649,1327,to show
650,1326,when was
651,1326,and when
652,1322,to talk
653,1319,all day
654,1318,listen to
655,1317,them in
656,1315,of its
657,1315,is this
658,1315,every day
659,1314,you would
660,1312,it seems
661,1312,order to
662,1310,all my
663,1307,happy birthday
664,1306,or not
665,1304,no longer
666,1302,it can
667,1301,you just
668,1300,about how
669,1299,amount of
670,1298,and some
671,1297,day and
672,1295,until the
673,1295,not just
674,1295,now that
675,1294,am not
676,1293,just got
677,1292,waiting for
678,1287,the case
679,1283,see what
680,1282,the man
681,1282,the old
682,1277,and even
683,1276,what are
684,1274,with that
685,1273,know the
686,1273,since the
687,1272,all over
688,1272,that one
689,1271,here in
690,1269,on her
691,1264,sense of
692,1263,to an
693,1263,how the
694,1262,to buy
695,1262,are all
696,1262,my mind
697,1261,the road
698,1261,you may
699,1260,in all
700,1259,but if
701,1259,when she
702,1259,to learn
703,1258,know it
704,1257,less than
705,1257,to him
706,1256,life is
707,1251,the follow
708,1250,much of
709,1245,take the
710,1245,his own
711,1244,much as
712,1239,to create
713,1239,made it
714,1238,me the
715,1237,in new
716,1237,she had
717,1236,back and
718,1235,as if
719,1232,time in
720,1230,that what
721,1230,he would
722,1230,the team
723,1229,my heart
724,1229,no matter
725,1229,do that
726,1229,just as
727,1228,and can
728,1227,to that
729,1226,my friend
730,1226,to eat
731,1225,for them
732,1225,the entire
733,1222,things that
734,1217,close to
735,1216,with their
736,1214,ve got
737,1213,to stay
738,1212,to follow
739,1206,so the
740,1206,in love
741,1205,the good
742,1204,but this
743,1203,my new
744,1199,be on
745,1198,good morning
746,1196,where you
747,1191,was an
748,1191,the very
749,1188,to change
750,1187,only one
751,1185,and am
752,1185,what he
753,1185,it as
754,1183,the great
755,1183,how do
756,1181,to pay
757,1179,don want
758,1179,out on
759,1176,that had
760,1174,talk to
761,1172,for years
762,1171,in to
763,1170,the season
764,1170,my head
765,1170,the sun
766,1169,just like
767,1166,of life
768,1165,and one
769,1163,the final
770,1163,continue to
771,1162,interested in
772,1161,but in
773,1160,him and
774,1160,of being
775,1158,day to
776,1157,wait for
777,1157,which was
778,1157,to bring
779,1156,that in
780,1152,and as
781,1152,look like
782,1151,has the
783,1151,easy to
784,1150,the morning
785,1149,an hour
786,1148,excited to
787,1147,good luck
788,1144,and has
789,1141,dont know
790,1140,but there
791,1137,the door
792,1136,like you
793,1136,me know
794,1136,is all
795,1136,and make
796,1135,and your
797,1134,the united
798,1133,something that
799,1132,the film
800,1130,to them
801,1130,at pm
802,1126,the car
803,1123,life and
804,1122,looking at
805,1122,was to
806,1120,the lord
807,1120,it comes
808,1118,got the
809,1118,more of
810,1117,is more
811,1116,people in
812,1115,comes to
813,1114,the truth
814,1112,we got
815,1108,don think
816,1107,piece of
817,1105,the movie
818,1104,and see
819,1104,long time
820,1104,thinking about
821,1103,of new
822,1103,lack of
