occurrences,term
14148,of the
13733,in the
6456,to the
5559,on the
5401,for the
4553,at the
4056,and the
3576,to be
3325,with the
2807,from the
2558,he said
2242,that the
2201,by the
2175,it was
2151,will be
2072,the first
1931,one of
1929,he was
1914,more than
1700,said the
1667,going to
1646,as the
1614,has been
1528,the state
1496,said he
1478,is the
1464,out of
1424,to get
1389,have been
1372,according to
1305,it is
1232,the city
1227,about the
1215,the same
1213,have to
1196,over the
1189,to do
1172,but the
1170,to make
1153,would be
1134,into the
1116,want to
1099,the new
1093,last year
1070,of his
1023,year old
1019,this is
1019,she said
1004,if you
1003,that he
999,part of
993,in his
978,was the
950,we re
942,the company
939,this year
916,the most
915,to have
909,new york
905,lot of
872,after the
847,there are
845,at least
839,such as
836,when the
810,and other
807,and that
803,the best
803,said it
799,the last
787,but it
780,you can
765,the year
763,is not
759,all the
751,they are
750,we have
750,the world
749,during the
747,up to
739,as well
737,they re
733,to see
731,when he
723,can be
721,and it
717,able to
717,some of
710,trying to
705,high school
703,st louis
703,the second
684,to go
682,and his
678,you re
677,he has
669,percent of
663,need to
663,the game
660,had been
659,he had
657,they were
656,to take
655,because of
653,said that
644,in an
643,there is
641,he is
638,new jersey
633,the team
628,and he
622,the next
620,that it
619,in and
617,that was
615,would have
611,she was
609,did not
602,of their
600,the time
595,if the
595,before the
591,back to
582,the other
581,the way
578,be the
574,kind of
572,the end
570,through the
570,but he
569,that is
565,last week
558,all of
558,the past
557,to help
552,off the
551,number of
550,to keep
547,we are
545,in this
544,could be
543,the two
540,years ago
538,and then
534,the season
520,the only
519,the country
518,and we
517,which is
516,said in
513,it would
507,end of
503,should be
502,there was
494,in their
493,most of
493,well as
492,the top
491,of its
490,up the
488,who was
486,around the
485,that they
485,against the
483,is that
483,to play
479,you have
478,had to
475,the right
474,they have
474,said they
474,it will
474,that would
472,way to
471,of this
470,to his
468,is to
468,and in
466,on his
457,under the
456,and they
453,that we
448,we ve
446,for his
446,who has
445,of them
445,with his
443,expected to
442,the school
441,have the
440,the national
439,and was
437,who is
436,los angeles
435,to work
435,in new
433,wanted to
430,it not
429,the case
428,the county
425,said we
425,across the
424,was not
417,said she
414,director of
413,of those
412,san francisco
410,people who
408,if they
406,than the
404,of our
404,it has
401,may be
400,the united
398,time to
398,we can
397,two years
395,in which
394,the house
392,the day
391,the public
389,this week
384,to win
383,since the
382,department of
381,are the
380,as an
380,try to
378,as he
377,to pay
377,them to
377,first time
375,that will
374,not to
374,when they
374,the th
373,him to
372,was in
371,he would
371,of an
371,how to
371,the third
370,when it
369,he says
369,go to
368,like the
367,for more
364,the federal
364,of her
361,this season
359,to find
358,united states
358,up with
358,the government
356,out the
356,the ball
355,is in
355,president of
354,and to
354,the final
353,when you
352,told the
352,among the
352,many of
352,based on
352,it the
351,used to
351,to give
351,to come
351,the district
351,up and
350,they can
349,from to
349,because the
349,his first
347,not be
347,the university
346,up in
345,with an
344,where the
344,million in
343,it to
343,to say
341,the big
340,enough to
339,and is
337,is an
336,he also
336,down the
335,if he
333,and has
332,along with
330,of it
330,the nation
329,of that
329,will have
328,are not
328,plans to
328,for years
321,be able
321,we were
319,like to
319,as they
318,for an
317,last month
317,that has
317,health care
315,of new
314,of people
314,who are
313,but that
313,that are
313,while the
311,and you
311,of all
310,there were
310,their own
310,look at
309,make the
309,less than
308,does not
308,continue to
308,as it
308,on their
306,as much
306,the group
302,university of
302,in her
302,to an
302,but they
302,the board
302,no one
301,the law
300,those who
299,his wife
298,who had
297,ve been
294,is one
294,get the
293,the bill
292,in that
290,make it
287,that she
286,who have
