occurrences,term
11834,in the
11134,for the
8583,of the
7247,on the
7074,to be
6413,to the
6392,thanks for
5909,if you
5698,you re
5694,at the
5064,going to
5014,thank you
4106,to see
3937,to get
3901,will be
3841,want to
3686,is the
3674,you are
3513,are you
3381,have to
3183,it was
3142,need to
3093,you can
3018,do you
2961,you have
2853,with the
2817,the best
2786,to do
2776,all the
2764,so much
2729,it is
2615,we re
2613,to go
2543,on my
2519,in my
2510,right now
2426,when you
2358,you know
2352,this is
2337,out of
2319,of my
2318,love you
2300,and the
2279,one of
2260,we are
2234,can wait
2048,go to
2004,see you
1883,follow me
1864,last night
1859,ll be
1856,the same
1799,forward to
1769,from the
1745,to have
1732,for you
1725,to me
1720,would be
1712,trying to
1700,the world
1695,to my
1688,what you
1677,to make
1677,time to
1658,to you
1600,for me
1592,you for
1572,way to
1551,with my
1539,back to
1533,that is
1525,hope you
1504,did you
1453,about the
1445,the new
1442,the day
1437,the first
1426,we have
1398,you guys
1394,looking forward
1388,we can
1386,is it
1381,wait to
1376,should be
1344,we ll
1340,check out
1322,is not
1307,happy birthday
1300,me to
1260,you want
1258,they are
1256,let me
1251,the follow
1251,know what
1247,with you
1246,for my
1240,that was
1233,that you
1229,all of
1226,there is
1219,by the
1214,love to
1199,you and
1199,in your
1198,good morning
1196,the way
1195,you to
1192,the only
1192,the most
1183,for your
1182,do it
1180,is so
1177,you don
1177,this weekend
1170,this week
1164,to hear
1161,to all
1156,and you
1142,be the
1141,on twitter
1139,they re
1138,at least
1138,have you
1135,like to
1133,how to
1128,you get
1125,of your
1124,but it
1124,don know
1121,ve been
1120,make it
1118,you think
1115,looking for
1111,you should
1109,like the
1106,my life
1105,and it
1101,on your
1099,just got
1099,that the
1097,ready for
1073,have been
1073,this morning
1073,of you
1073,you ll
1070,what is
1067,love it
1063,are the
1063,is that
1059,to work
1059,feel like
1046,me and
1046,can be
1043,to say
1039,out to
1038,you do
1037,up to
1036,is going
1019,about to
1016,it to
1002,thanks to
991,love the
983,good luck
979,get to
970,listening to
965,can get
965,the next
964,lot of
951,ready to
950,more than
943,this year
939,the last
934,can you
925,looks like
925,out the
920,be in
917,has been
916,get it
912,my mom
906,you need
903,what the
901,gonna be
899,you like
896,to know
893,as well
888,to take
887,have the
875,is my
873,we will
872,to your
870,you were
869,and we
865,it out
863,miss you
862,to come
858,at pm
857,have great
853,kind of
852,the time
850,up with
850,it not
848,like it
847,part of
842,all day
842,to watch
839,you too
833,you will
833,you in
831,no one
827,of our
823,so far
821,about it
816,you ve
813,for all
812,in this
812,my favorite
807,see the
806,time for
806,he is
803,of course
801,with me
793,there are
788,what are
788,up for
787,get the
786,working on
785,for following
784,tell me
783,you so
782,able to
782,to start
779,the game
775,what do
771,and then
770,it all
770,we need
769,was the
762,come to
756,up and
756,it up
756,don have
754,so many
748,out there
746,up on
744,day of
742,lots of
742,next week
742,on this
742,to meet
740,can do
738,to find
737,makes me
736,the end
730,me know
729,it the
728,is on
726,the rt
724,me too
723,had to
723,excited to
723,wait for
723,is in
721,follow back
721,like that
719,and my
718,some of
714,like you
710,know how
708,my new
708,would love
707,he was
706,back in
705,it will
704,it on
702,glad you
700,but you
698,if it
695,up the
694,the other
693,of it
692,it in
689,talking about
688,for this
685,used to
685,too much
683,at all
682,to help
681,and get
681,to follow
678,be there
676,day to
673,with your
670,how much
669,come on
668,is to
666,you all
665,but the
663,life is
663,so excited
662,the th
659,are so
659,it would
657,up in
653,great day
648,not the
647,make sure
645,it just
644,to win
642,you just
642,better than
642,for some
641,know you
640,needs to
639,try to
638,do not
637,not to
634,look at
633,please follow
632,shout out
632,not sure
629,the show
629,into the
628,off the
628,all my
628,good to
627,could be
626,who is
626,the one
624,off to
623,sounds like
622,talk to
615,on it
614,you love
614,for our
614,over the
611,to our
611,end of
609,today is
608,you got
608,got to
605,to play
604,how are
602,have no
596,know that
595,listen to
595,hard to
593,know it
591,to sleep
589,is good
588,is your
583,it so
582,going on
579,tonight at
578,be on
576,we love
576,wants to
575,watching the
574,ve got
574,how many
574,to talk
572,how do
571,waiting for
570,the word
570,know if
570,how you
570,my friend
570,my phone
567,must be
567,people who
566,think it
564,you on
563,so good
563,social media
563,what up
562,wanted to
561,out for
561,to keep
560,when it
554,make me
552,would you
551,let go
550,would have
549,love that
549,that what
549,if they
546,me up
545,we ve
545,that it
543,on that
542,just saw
541,don want
541,of this
540,the rest
539,to it
539,might be
539,when the
538,for that
537,welcome to
535,you at
535,at work
534,in love
533,at my
533,for it
529,you could
529,is this
529,so can
529,new year
528,on our
527,me on
526,don think
526,and have
524,that would
523,they have
523,it and
520,of us
520,of all
519,is like
515,have an
514,me in
513,talk about
512,re not
511,of them
510,nice to
510,of those
510,the whole
509,much for
509,is just
508,but not
508,the right
506,if we
505,think of
504,is an
503,and not
502,to bed
502,hope to
502,out and
500,your favorite
500,to give
499,was just
499,excited for
499,for an
499,why do
498,great to
498,and your
497,and they
497,about you
496,in our
496,think you
495,why is
494,my first
493,rest of
493,instead of
492,call me
492,may be
491,have fun
488,thanks so
485,went to
484,first time
484,live in
481,is great
481,but we
479,look like
478,coming to
477,happy to
477,do that
476,here in
476,congrats to
476,if the
475,to for
475,as the
473,your life
470,sure to
469,it like
466,get your
465,should have
464,it for
464,be at
464,rt if
464,don forget
463,my friends
461,got the
461,at am
459,glad to
459,what we
457,my day
457,let us
457,stay tuned
457,are not
456,are going
456,the people
456,that one
455,those who
455,of that
455,she is
453,people are
452,do the
452,how about
450,that we
450,is no
450,be able
449,out on
447,when they
447,one day
447,wake up
447,get my
446,got my
445,and that
444,so you
444,proud of
444,where you
444,see it
443,was great
443,ll have
442,is there
441,to tell
440,you see
440,the weekend
439,will have
439,away from
438,getting ready
438,will you
438,the morning
438,the year
436,would like
436,of me
433,we should
433,to use
433,from my
432,we all
432,had great
432,an amazing
432,it been
432,cant wait
431,we do
430,and he
430,my head
429,with that
429,give me
428,now that
427,see what
427,with us
426,what it
426,think about
425,thinking about
425,mother day
424,you had
423,you would
423,love your
423,down to
420,we were
420,my dad
419,can help
417,so happy
417,and all
416,join us
415,wish could
414,new york
414,what to
414,stop by
413,when we
412,oh my
411,can we
411,to check
411,look forward
411,on facebook
410,next time
410,to stop
410,and now
409,was so
409,watch the
409,are in
409,back on
409,the big
408,is one
408,check it
408,out with
407,you go
407,like this
406,know the
406,my mind
405,the worst
405,tell you
405,is what
405,make the
404,is now
403,just like
402,following me
401,they were
401,for sure
401,so glad
400,day in
400,my way
399,at this
399,my heart
398,the good
397,can believe
397,in it
396,good day
395,come out
394,am so
394,your own
393,don get
393,made it
393,what they
392,it but
391,to look
391,to learn
391,to try
391,the future
389,not be
389,in and
388,about that
387,mothers day
387,the night
387,me the
387,told me
387,all you
387,bout to
386,next year
386,love my
386,high school
386,can make
385,as you
385,each other
384,don like
384,to this
383,for more
383,great time
383,has to
383,to eat
382,get some
382,come back
381,find out
381,be great
379,the past
379,our new
378,we had
378,meet you
378,only one
377,who are
377,sure you
377,what your
377,got it
377,at me
377,every time
376,the house
376,love this
376,us know
375,get out
375,to put
374,you make
374,that my
373,be good
373,have good
373,say that
373,moment when
372,was in
371,today and
371,so we
370,at home
370,the fuck
369,if he
369,you the
368,get back
368,me back
368,will never
368,is still
368,get in
367,that will
367,no matter
366,up at
366,to read
365,rt the
364,supposed to
363,the great
363,me for
363,and will
363,will do
363,interested in
362,you ever
362,to live
362,take it
362,be back
362,is all
361,of people
361,through the
361,no problem
361,congrats on
361,re welcome
361,think that
360,for sharing
360,made me
360,most of
359,have any
359,it going
359,just finished
358,in that
357,work on
357,this time
357,me that
356,my own
356,good night
356,the hell
356,around the
356,you feel
355,with it
355,with and
355,out in
354,some people
354,you be
354,to school
353,this summer
353,full of
353,we don
353,if your
353,to everyone
353,this one
352,birthday to
351,are all
351,is always
350,they can
349,all over
349,how is
348,because of
348,he has
348,than the
348,chance to
345,down the
345,but they
345,with all
345,you you
345,an hour
344,not even
343,but don
343,me if
343,woke up
343,where are
343,can see
343,last week
342,for being
342,be sure
341,keep it
341,one more
340,when people
339,ve never
339,the top
339,be so
338,it be
338,and more
338,an awesome
338,have some
337,the week
337,out my
337,to buy
337,they don
336,next to
335,don even
335,up my
335,just want
335,and don
334,im not
334,is coming
333,that can
333,we get
333,text me
333,to think
333,you there
333,the gym
332,during the
331,for us
331,on me
331,you going
331,to that
330,enough to
330,and just
330,where the
329,it when
329,on his
329,go back
329,all that
328,and can
327,them to
327,does not
327,after the
327,no idea
326,what did
326,when your
326,that he
325,day and
325,all your
324,it time
324,when he
324,my house
324,thx for
323,re in
323,or not
323,make you
323,and see
323,do this
323,but can
322,day for
322,to stay
322,re going
322,san diego
322,every day
321,how the
321,because you
320,me so
320,get on
320,year old
319,there was
319,heading to
318,what happened
318,you still
318,why are
318,we just
318,think the
318,and are
317,last year
317,anyone else
317,has the
316,you doing
316,we got
316,time in
316,wonder if
315,no more
315,my best
314,happy new
313,is gonna
313,starting to
312,that they
312,which is
312,excited about
311,see if
311,and love
311,great weekend
310,but he
310,all about
309,rt rt
309,it has
309,us to
308,today at
308,is about
308,to change
308,you mean
308,the sun
308,pretty sure
307,so hard
307,you look
307,in nyc
307,take the
306,coming up
305,you did
305,ice cream
305,my birthday
305,for free
305,ll get
304,it really
304,for new
304,with this
304,my hair
303,will get
302,tired of
302,that not
302,last day
302,can go
302,to share
301,how it
301,on to
301,love and
300,ll see
300,good for
300,all night
300,due to
300,its not
299,you say
299,love with
299,long time
299,the city
299,before the
298,in la
298,how can
297,will not
297,had the
297,see how
297,hit me
297,but that
296,in front
296,help me
296,but still
295,even if
295,on you
294,re the
294,the season
293,she was
293,your tweets
293,my twitter
293,to love
293,it ll
293,don care
293,just had
293,to and
292,best friend
291,give you
291,in his
291,pick up
291,guys are
291,go on
291,as much
290,is for
290,looking at
290,you but
289,my last
289,front of
289,the st
289,thank god
289,the movie
289,on friday
289,did it
288,about this
288,how did
288,of his
287,happy friday
287,that shit
287,is awesome
287,in chicago
287,people in
286,is really
286,the truth
286,say it
285,what was
285,in life
284,it that
284,get me
284,let you
283,forget to
283,and for
282,it my
282,enjoy the
282,the real
282,be an
282,me at
282,that just
282,day at
281,or something
280,im so
280,great job
280,how was
280,in to
280,long as
280,are we
280,to show
280,people to
279,back from
279,beautiful day
279,did not
279,didn know
279,get ready
279,do something
279,know when
279,your day
279,too many
278,in one
278,talking to
278,something to
278,it with
278,that why
277,me you
277,me out
277,the office
277,still have
277,it at
277,in an
277,why you
276,day is
276,oh yeah
276,on saturday
276,ve ever
276,wish was
276,think they
275,and she
275,happy hour
275,about your
274,hit the
274,was good
274,same thing
274,and so
274,does it
273,us at
273,it too
273,you been
273,think we
272,to ask
272,out our
272,to write
272,the love
272,you back
271,in their
271,years ago
271,it doesn
270,to call
270,you follow
269,that makes
269,you must
269,coming soon
269,so bad
269,the fact
269,who you
268,like my
268,my sister
268,of their
268,can have
268,so it
268,the man
268,wanna go
267,just to
267,the team
267,is amazing
267,and to
266,seems like
266,for lunch
266,headed to
266,because it
266,what about
265,love is
265,not in
265,hope it
265,here to
265,these days
264,see my
264,too bad
264,seeing you
264,go out
263,happy mothers
263,not just
263,am not
263,let the
263,is more
262,see that
262,on tv
262,but if
262,best of
262,that all
262,the greatest
262,could have
261,figure out
261,you really
261,done with
261,the more
261,in for
260,the ff
260,way too
260,it good
260,not that
260,when was
260,as we
260,that good
259,do with
259,need some
259,to catch
259,we go
259,coming out
259,my name
259,tweet me
259,and no
258,pretty good
258,good thing
258,from you
258,to let
258,on their
257,wish you
257,don be
257,who wants
257,do we
257,so true
257,to tweet
256,any of
256,now on
256,keep up
256,know who
256,that means
255,less than
255,that way
255,is at
255,the road
254,about how
254,are on
254,where is
254,did the
254,work with
254,get up
254,they do
254,and make
253,hate when
253,on here
253,what would
253,back at
253,the us
252,someone who
252,as long
252,thought it
252,so proud
252,is very
252,won be
252,may have
252,follow you
252,is getting
252,look for
251,and if
250,be my
250,tomorrow night
250,get that
250,about me
250,not going
250,close to
250,for her
249,happy mother
249,we could
249,was like
249,even though
249,much more
248,place to
248,tried to
248,time with
247,love me
247,me or
247,before you
247,worth it
247,to hit
246,me but
246,night at
246,in new
246,that have
246,the guy
246,me please
246,at it
245,is too
245,been on
245,and ll
245,the mention
245,can find
245,help you
244,have my
244,feels like
244,someone else
244,for great
244,really good
243,go for
243,get this
243,so what
243,then you
243,you never
242,or the
242,much better
242,all is
242,so that
242,give up
242,the rain
242,they will
242,yes it
242,it great
241,was going
241,was on
241,the music
241,got some
241,sorry for
241,back and
241,much fun
241,this game
241,it looks
241,to move
240,care of
240,to bring
240,one thing
240,time and
240,have it
240,for their
240,for them
240,of time
240,of these
240,work and
240,he will
239,get you
239,at your
239,with an
239,to leave
239,this day
239,fan of
239,need more
239,because they
239,the weather
239,it can
238,your friends
238,my brother
238,you please
238,about my
238,of life
238,me feel
238,with some
238,believe in
238,and what
237,the old
237,will always
237,and am
237,even know
237,happened to
236,saw the
236,the book
236,with our
236,come in
236,couple of
236,him to
236,are doing
236,work for
235,you dont
235,seem to
235,send me
235,can tell
235,there no
235,are just
234,came out
234,my family
234,it now
234,out at
234,for coming
234,here we
234,hope all
234,but have
234,can say
233,catch up
233,get off
233,bunch of
233,and in
233,top of
233,but my
232,me when
232,things are
232,do have
232,really want
232,the car
232,re so
232,oh well
232,makes you
232,me some
231,make my
231,do is
231,last time
231,call it
231,hope everyone
231,does that
231,my car
231,and go
230,it it
230,on sunday
230,the person
230,don you
230,seems to
230,in on
230,now and
230,to twitter
229,know about
229,and be
229,the summer
229,let get
228,in bed
228,in san
228,thinking of
228,but then
228,he can
228,so cute
228,like an
228,me of
228,the door
227,for those
227,today in
227,do what
227,the heat
226,it you
226,dm me
226,we want
225,they say
225,of an
225,all these
225,you didn
225,if not
225,feel better
224,at you
224,night and
224,shut up
223,enjoy your
223,when get
223,god bless
223,no way
223,made my
222,name is
222,side of
222,for his
222,ha ha
222,for what
222,rt we
222,follow us
222,awkward moment
222,today for
222,all time
221,everyone is
221,everyone who
221,friday night
221,you may
221,you that
221,so tired
221,and do
221,ve had
221,the middle
221,oh and
221,just don
220,be like
220,end up
220,to run
220,we would
220,who has
220,ve seen
220,with no
220,they ll
220,can take
220,not have
219,today was
219,like your
219,is better
219,the internet
219,there for
