,occurrences,term
0,1249,the end of the
1,1182,the rest of the
2,1110,at the end of
3,953,thanks for the follow
4,936,for the first time
5,852,at the same time
6,725,when it comes to
7,706,is one of the
8,702,is going to be
9,679,one of the most
10,660,in the middle of
11,643,to be able to
12,617,if you want to
13,536,thanks for the rt
14,487,thank you for the
15,476,one of the best
16,470,can wait to see
17,443,one of my favorite
18,427,thank you so much
19,399,the middle of the
20,383,for the rest of
21,369,the top of the
22,365,what do you think
23,363,on the other hand
24,346,as well as the
25,342,by the end of
26,339,was one of the
27,339,in the united states
28,320,it going to be
29,316,in front of the
30,316,to go to the
31,307,the bottom of the
32,302,in the first place
33,290,will be able to
34,281,going to have to
35,278,there are so many
36,269,to be part of
37,267,you re going to
38,264,we re going to
39,256,hope to see you
40,251,the first time in
41,251,at the top of
42,250,was going to be
43,248,thanks so much for
44,246,most of the time
45,242,for the most part
46,241,the back of the
47,239,nothing to do with
48,233,for those of you
49,228,the best way to
50,228,are you going to
51,227,let me know if
52,226,we are going to
53,224,are going to be
54,224,on my way to
55,223,in the midst of
56,220,on the other side
57,216,looking forward to the
58,215,thank you for your
59,213,end of the day
60,212,to get out of
61,210,the other side of
62,207,to do with the
63,204,the fact that the
64,203,this is one of
65,203,in the form of
66,202,the beginning of the
67,196,is one of my
68,194,turned out to be
69,194,to go back to
70,193,you don have to
71,190,to be in the
72,189,those of you who
73,188,on the way to
74,186,as part of the
75,185,at the university of
76,184,on top of the
77,181,as one of the
78,181,of the united states
79,180,thought it would be
80,177,trying to figure out
81,176,as you can see
82,176,do you want to
83,175,this is the first
84,175,you would like to
85,175,in one of the
86,175,thanks for the ff
87,173,at the beginning of
88,173,the name of the
89,173,you are going to
90,172,in front of me
91,171,over and over again
92,169,what are you doing
93,169,you want to be
94,168,thanks for the mention
95,168,looking forward to seeing
96,166,figure out how to
97,163,should be able to
98,163,to take care of
99,162,looking forward to it
100,161,from time to time
101,161,if you re not
102,161,did you know that
103,160,you so much for
104,159,so much for the
105,159,to come up with
106,159,this is going to
107,159,in the case of
