occurrences,term
292848,the
188298,to
134467,and
113384,of
108745,in
98919,you
84991,for
78755,it
76182,is
68928,that
62761,on
46610,my
45758,with
44551,at
39717,be
36274,have
35259,was
34503,are
34138,this
34047,we
32842,me
31012,but
29920,he
29154,so
28307,your
27084,not
26674,just
25409,can
25163,as
24516,all
24211,from
24170,what
23480,up
23360,out
22704,will
22511,like
21897,they
21877,said
21120,if
20792,about
20248,get
19666,do
19347,one
19342,an
19135,by
18225,when
18083,or
17743,who
17623,good
17131,his
17028,love
16591,day
16446,has
16208,more
16105,time
16090,no
15868,new
15833,there
15435,now
14448,how
13766,know
13740,don
13627,thanks
13581,would
13472,rt
13258,some
12912,re
12907,great
12793,today
12791,go
12562,had
12535,our
11759,see
11755,people
11729,she
11705,been
11480,back
10989,their
10982,its
10721,going
10556,year
10541,lol
10488,her
10232,too
10169,got
10005,think
9879,were
9722,make
9717,last
9289,than
9236,first
9184,them
9094,need
8965,want
8897,us
8795,right
8763,much
8707,only
8647,ll
8533,work
8368,after
8317,really
8255,over
7941,off
7863,well
7854,am
7813,did
7784,night
7673,way
7665,happy
7659,still
7636,two
7613,here
7554,follow
7472,him
7401,should
7377,come
7266,then
7237,tonight
7183,could
7154,game
7087,best
6986,also
6969,into
6936,other
6820,why
6738,ve
6642,where
6586,say
6532,because
6402,life
6396,week
6360,never
6359,which
6339,down
6278,let
6260,next
6224,thank
6223,even
6174,home
6116,take
6067,any
6040,school
6037,show
5785,hope
5715,better
5634,years
5584,most
5521,man
5445,those
5409,state
5395,before
5338,very
5331,being
5300,always
5271,big
5204,many
5127,oh
5053,may
4996,im
4921,twitter
4882,look
4881,please
4866,made
4771,getting
4738,city
4717,long
4688,world
4612,yes
4606,morning
4569,team
4563,looking
4552,ever
4549,something
4543,sure
4511,everyone
4489,old
4454,feel
4447,tomorrow
4438,help
4425,wait
4411,every
4404,while
4381,things
4341,keep
4330,again
4317,free
4309,little
4231,another
4202,th
4163,same
4161,through
4131,play
4118,hey
4081,thing
4059,days
4014,season
4001,haha
3987,says
3953,doing
3927,these
3901,three
3880,didn
3855,someone
3834,does
3816,call
3800,fun
3798,weekend
3782,bad
3764,high
3759,st
3750,around
3729,awesome
3722,music
3704,give
3699,live
3653,start
3628,nice
3609,one of the
3597,since
3590,guys
3540,use
3536,house
3532,coming
3512,find
3495,check
3493,tell
3471,win
3439,family
3407,lot
3393,done
3389,such
3383,soon
3382,friends
3380,yeah
3377,friday
3350,put
3257,miss
3255,watching
3243,gonna
3228,both
3215,stop
3209,hard
3180,real
3180,until
3172,working
3167,though
3163,won
3124,com
3104,end
3091,money
3087,amazing
3086,place
3081,ready
3019,away
3017,tweet
3015,job
3009,pretty
3008,having
2986,god
2985,already
2981,run
2980,might
2975,girl
2973,part
2940,watch
2929,few
2926,talk
2920,wish
2896,million
2886,hate
2868,anyone
2866,left
2852,thought
2841,trying
2819,own
2817,pm
2803,yet
2796,during
2770,makes
2769,doesn
2757,try
2754,making
2750,percent
2738,hit
2713,food
2706,cool
2701,party
2688,county
2660,open
2655,shit
2652,forward
2649,business
2644,maybe
2632,nothing
2624,against
2616,birthday
2611,second
2588,must
2588,hear
2587,excited
2583,dont
2561,everything
2559,early
2557,told
2517,top
2516,news
2484,public
2482,times
2468,guy
2466,class
2461,went
2460,without
2450,name
2441,person
2431,saw
2409,stay
2405,company
2401,following
2396,enough
2390,four
2385,found
2379,care
2374,change
2370,head
2370,book
2368,kids
2361,used
2359,each
2357,true
2353,called
2347,friend
2322,police
2320,sorry
2320,point
2318,support
2318,saturday
2317,believe
2316,far
2315,set
2304,center
2284,games
2273,anything
2266,ok
2262,looks
2260,monday
2257,ur
2247,playing
2238,sunday
2237,mean
2233,under
2224,beautiful
2221,favorite
2215,least
2206,actually
2196,glad
2195,came
2186,office
2182,phone
2181,month
2172,song
2162,hours
2154,read
2150,between
2145,ya
2135,summer
2131,mom
2114,wanna
2112,room
2108,car
2100,welcome
2094,sleep
2086,half
2081,movie
2076,once
2049,late
2048,full
2035,wow
2021,hot
2015,took
2013,president
2001,video
1992,else
1991,www
1983,later
1973,group
1970,ass
1962,story
1962,line
1960,almost
1955,students
1946,meet
1944,seen
1943,kind
1940,finally
1932,bring
1930,ago
1926,women
1895,needs
1889,fans
1887,together
1882,past
1878,minutes
1870,post
1869,remember
1863,heart
1863,five
1855,isn
1846,taking
1845,started
1844,baby
1844,law
1841,pay
1840,less
1834,lost
1833,park
1812,mind
1812,cause
1811,talking
1809,white
1801,face
1800,guess
1798,idea
1797,event
1794,fuck
1791,stuff
1789,enjoy
