,occurrences,term
0,292848,the
1,188298,to
2,134467,and
3,113384,of
4,108745,in
5,98919,you
6,84991,for
7,78755,it
8,76182,is
9,68928,that
10,62761,on
11,46610,my
12,45758,with
13,44551,at
14,39717,be
15,36274,have
16,35259,was
17,34503,are
18,34138,this
19,34047,we
20,32842,me
21,31012,but
22,29920,he
23,29154,so
24,28307,your
25,27084,not
26,26674,just
27,25409,can
28,25163,as
29,24516,all
30,24211,from
31,24170,what
32,23480,up
33,23360,out
34,22704,will
35,22511,like
36,21897,they
37,21877,said
38,21120,if
39,20792,about
40,20248,get
41,19666,do
42,19347,one
43,19342,an
44,19135,by
45,18225,when
46,18083,or
47,17743,who
48,17623,good
49,17131,his
50,17028,love
51,16591,day
52,16446,has
53,16208,more
54,16105,time
55,16090,no
56,15868,new
57,15833,there
58,15435,now
59,14448,how
60,13766,know
61,13740,don
62,13627,thanks
63,13581,would
64,13472,rt
65,13258,some
66,12912,re
67,12907,great
68,12793,today
69,12791,go
70,12562,had
71,12535,our
72,11759,see
73,11755,people
74,11729,she
75,11705,been
76,11480,back
77,10989,their
78,10982,its
79,10721,going
80,10556,year
81,10541,lol
82,10488,her
83,10232,too
84,10169,got
85,10005,think
86,9879,were
87,9722,make
88,9717,last
89,9289,than
90,9236,first
91,9184,them
92,9094,need
93,8965,want
94,8897,us
95,8795,right
96,8763,much
97,8707,only
98,8647,ll
99,8533,work
100,8368,after
101,8317,really
102,8255,over
103,7941,off
104,7863,well
105,7854,am
106,7813,did
107,7784,night
108,7673,way
109,7665,happy
110,7659,still
111,7636,two
112,7613,here
113,7554,follow
114,7472,him
115,7401,should
116,7377,come
117,7266,then
118,7237,tonight
119,7183,could
120,7154,game
121,7087,best
122,6986,also
123,6969,into
124,6936,other
125,6820,why
126,6738,ve
127,6642,where
128,6586,say
129,6532,because
130,6402,life
131,6396,week
132,6360,never
133,6359,which
134,6339,down
135,6278,let
136,6260,next
137,6224,thank
138,6223,even
139,6174,home
140,6116,take
141,6067,any
142,6040,school
143,6037,show
144,5785,hope
145,5715,better
146,5634,years
147,5584,most
148,5521,man
149,5445,those
150,5409,state
151,5395,before
152,5338,very
153,5331,being
154,5300,always
155,5271,big
156,5204,many
157,5127,oh
158,5053,may
159,4996,im
160,4921,twitter
161,4882,look
162,4881,please
163,4866,made
164,4771,getting
165,4738,city
166,4717,long
167,4688,world
168,4612,yes
169,4606,morning
170,4569,team
171,4563,looking
172,4552,ever
173,4549,something
174,4543,sure
175,4511,everyone
176,4489,old
177,4454,feel
178,4447,tomorrow
179,4438,help
180,4425,wait
181,4411,every
182,4404,while
183,4381,things
184,4341,keep
185,4330,again
186,4317,free
187,4309,little
188,4231,another
189,4202,th
190,4163,same
191,4161,through
192,4131,play
193,4118,hey
194,4081,thing
195,4059,days
196,4014,season
197,4001,haha
198,3987,says
199,3953,doing
200,3927,these
201,3901,three
202,3880,didn
203,3855,someone
204,3834,does
205,3816,call
206,3800,fun
207,3798,weekend
208,3782,bad
209,3764,high
210,3759,st
211,3750,around
212,3729,awesome
213,3722,music
214,3704,give
215,3699,live
216,3653,start
217,3628,nice
218,3609,one of the
219,3597,since
220,3590,guys
221,3540,use
222,3536,house
223,3532,coming
224,3512,find
225,3495,check
226,3493,tell
227,3471,win
228,3439,family
229,3407,lot
230,3393,done
231,3389,such
232,3383,soon
233,3382,friends
234,3380,yeah
235,3377,friday
236,3350,put
237,3257,miss
238,3255,watching
239,3243,gonna
240,3228,both
241,3215,stop
242,3209,hard
243,3180,real
244,3180,until
245,3172,working
246,3167,though
247,3163,won
248,3124,com
249,3104,end
250,3091,money
251,3087,amazing
252,3086,place
253,3081,ready
254,3019,away
255,3017,tweet
256,3015,job
257,3009,pretty
258,3008,having
259,2986,god
260,2985,already
261,2981,run
262,2980,might
263,2975,girl
264,2973,part
265,2940,watch
266,2929,few
267,2926,talk
268,2920,wish
269,2896,million
270,2886,hate
271,2868,anyone
272,2866,left
273,2852,thought
274,2841,trying
275,2819,own
276,2817,pm
277,2803,yet
278,2796,during
279,2770,makes
280,2769,doesn
281,2757,try
282,2754,making
283,2750,percent
284,2738,hit
285,2713,food
286,2706,cool
287,2701,party
288,2688,county
289,2660,open
291,2652,forward
292,2649,business
293,2644,maybe
294,2632,nothing
295,2624,against
296,2616,birthday
297,2611,second
298,2588,must
299,2588,hear
300,2587,excited
301,2583,dont
302,2561,everything
303,2559,early
304,2557,told
305,2517,top
306,2516,news
307,2484,public
308,2482,times
309,2468,guy
311,2461,went
312,2460,without
313,2450,name
314,2441,person
315,2431,saw
316,2409,stay
317,2405,company
318,2401,following
319,2396,enough
320,2390,four
321,2385,found
322,2379,care
323,2374,change
324,2370,head
325,2370,book
326,2368,kids
327,2361,used
328,2359,each
329,2357,true
330,2353,called
331,2347,friend
332,2322,police
333,2320,sorry
334,2320,point
335,2318,support
336,2318,saturday
337,2317,believe
338,2316,far
339,2315,set
340,2304,center
341,2284,games
342,2273,anything
343,2266,ok
344,2262,looks
345,2260,monday
346,2257,ur
347,2247,playing
348,2238,sunday
349,2237,mean
350,2233,under
351,2224,beautiful
352,2221,favorite
353,2215,least
354,2206,actually
355,2196,glad
356,2195,came
357,2186,office
358,2182,phone
359,2181,month
360,2172,song
361,2162,hours
362,2154,read
363,2150,between
364,2145,ya
365,2135,summer
366,2131,mom
367,2114,wanna
368,2112,room
369,2108,car
370,2100,welcome
371,2094,sleep
372,2086,half
373,2081,movie
374,2076,once
375,2049,late
376,2048,full
377,2035,wow
378,2021,hot
379,2015,took
380,2013,president
381,2001,video
382,1992,else
383,1991,www
384,1983,later
385,1973,group
387,1962,story
388,1962,line
389,1960,almost
390,1955,students
391,1946,meet
392,1944,seen
393,1943,kind
394,1940,finally
395,1932,bring
396,1930,ago
397,1926,women
398,1895,needs
399,1889,fans
400,1887,together
401,1882,past
402,1878,minutes
403,1870,post
404,1869,remember
405,1863,heart
406,1863,five
407,1855,isn
408,1846,taking
409,1845,started
410,1844,baby
411,1844,law
412,1841,pay
413,1840,less
414,1834,lost
415,1833,park
416,1812,mind
417,1812,cause
418,1811,talking
419,1809,white
420,1801,face
421,1800,guess
422,1798,idea
423,1797,event
425,1791,stuff
426,1789,enjoy
427,1787,including
428,1787,probably
429,1781,thursday
430,1776,american
431,1769,ask
432,1763,damn
433,1758,word
434,1753,special
435,1753,meeting
436,1750,thinking
437,1745,number
438,1745,health
439,1743,crazy
440,1743,heard
441,1741,children
442,1738,plan
443,1735,facebook
444,1735,hour
445,1734,black
446,1734,different
447,1727,national
448,1723,college
449,1715,service
450,1715,case
451,1715,community
452,1710,saying
453,1710,move
454,1703,street
455,1698,as well as
456,1695,san
457,1692,local
458,1691,young
459,1689,congrats
460,1688,small
461,1680,sounds
462,1680,omg
463,1665,close
464,1660,course
465,1657,some of the
