occurrences,term
151750,the
69756,to
68570,and
59313,of
51903,in
27978,that
27167,for
21971,is
21164,it
20814,on
19761,with
19174,said
19113,he
17625,was
16598,at
14640,as
12115,his
11668,but
11652,from
11638,be
11006,have
10724,are
10317,by
9829,they
9455,this
9415,an
9336,has
9172,we
8652,you
8623,not
8540,who
8479,will
7506,or
6939,about
6896,one
6749,more
6709,their
6272,had
6245,year
6196,she
6001,up
5934,when
5839,were
5791,out
5608,all
5577,would
5368,her
5366,new
5236,there
5176,its
5166,been
5132,can
5038,if
4943,two
4760,after
4623,what
4621,which
4543,first
4534,than
4517,also
4476,time
4383,so
4325,no
4320,state
4166,just
4072,last
3990,some
3948,other
3900,like
3746,people
3718,years
3650,into
3493,do
3392,get
3376,over
3357,him
3356,them
3187,city
3127,could
3112,our
3072,my
3068,three
3019,because
2847,now
2809,school
2782,only
2760,most
2719,back
2634,percent
2631,how
2614,re
2612,game
2574,before
2515,make
2508,day
2495,says
2469,going
2459,home
2450,your
2450,those
2408,where
2394,then
2384,county
2374,million
2342,many
2324,off
2322,good
2315,team
2295,season
2287,through
2285,high
2279,even
2241,while
2190,may
2159,made
2145,way
2141,much
2113,work
2100,me
2095,down
2067,don
2057,well
2013,police
1977,any
1961,still
1959,go
1941,four
1920,old
1913,since
1910,think
1886,did
1854,take
1850,week
1848,against
1835,right
1821,st
1819,public
1803,say
1792,long
1785,during
1768,company
1750,being
1731,second
1726,such
1699,another
1697,should
1689,best
1684,know
1660,see
1632,center
1619,big
1619,want
1601,got
1599,very
1598,next
1580,family
1575,these
1566,both
1560,president
1556,ve
1549,here
1540,play
1525,us
1502,house
1499,including
1493,around
1487,five
1466,part
1458,too
1437,under
1436,lot
1429,little
1403,world
1401,really
1388,told
1388,same
1386,every
1384,each
1380,according
1376,night
1370,place
1366,money
1342,need
1340,help
1339,former
1330,law
1326,end
1322,run
1321,come
1317,never
1316,show
1316,great
1316,today
1311,left
1308,court
1290,business
1285,group
1281,man
1276,until
1271,top
1271,between
1269,officials
1229,life
1219,games
1219,health
1215,didn
1214,few
1203,put
1201,better
1199,government
1191,own
1191,won
1188,federal
1188,district
1183,found
1172,called
1167,office
1149,use
1145,children
1144,point
1142,national
1137,days
1136,month
1129,might
1128,came
1123,third
1121,th
1115,university
1113,set
1112,something
1112,board
1108,things
1101,case
1098,took
1095,program
1090,students
1088,department
1087,free
1079,coach
1072,american
1067,several
1062,ohio
1061,used
1060,start
1052,six
1052,though
1051,friday
1048,community
1045,early
1043,times
1041,look
1034,director
1034,local
1029,park
1026,open
1025,win
1024,job
1020,area
1019,thursday
1019,monday
1014,keep
1011,ago
1011,bill
1011,later
1010,pay
1009,road
1005,tax
999,without
999,points
989,tuesday
987,small
987,ll
985,went
985,members
984,past
981,half
968,saturday
963,cleveland
961,based
959,hit
958,why
957,san
956,away
950,street
946,among
945,care
939,country
936,months
936,enough
932,least
931,plan
931,york
931,call
926,players
925,obama
924,always
924,does
921,food
920,april
919,service
915,states
909,find
907,once
903,less
899,getting
895,again
893,john
891,schools
885,give
884,room
883,jersey
882,news
878,wednesday
876,making
870,young
870,asked
865,hard
863,report
863,line
861,sunday
861,information
858,already
856,working
855,system
855,whether
855,college
852,doesn
850,com
850,washington
842,number
835,north
834,market
829,building
825,women
823,support
822,white
822,along
821,water
815,thing
810,different
808,started
802,billion
796,love
794,far
789,car
787,louis
784,field
783,march
780,played
780,minutes
778,west
776,full
774,late
772,yet
770,trying
769,change
761,feel
759,real
758,head
754,often
754,budget
753,done
753,general
751,story
750,sure
748,doing
746,south
744,oregon
742,side
739,close
738,lead
737,able
736,music
735,others
733,nearly
732,fire
728,seven
727,series
722,lost
722,deal
722,cost
721,league
720,portland
719,companies
