occurrences,term
141098,the
118542,to
90267,you
65897,and
57824,for
57591,it
56842,in
54211,is
54071,of
43538,my
41947,on
40950,that
30742,me
28079,be
27953,at
25997,with
25857,your
25268,have
24875,we
24771,so
24683,this
23779,are
22508,just
20277,can
19547,what
19344,but
18908,all
18611,like
18461,not
17634,was
17569,out
17479,up
16856,get
16232,love
16173,do
16082,if
15301,good
14225,will
14083,day
13853,about
13472,rt
13450,thanks
12588,now
12559,from
12451,one
12291,when
12082,know
12068,they
11817,how
11765,no
11673,don
11629,time
11591,great
11477,today
10832,go
10807,he
10597,there
10577,or
10541,lol
10523,as
10502,new
10298,re
10099,see
9927,an
9459,more
9423,our
9268,some
9203,who
8818,by
8774,too
8761,back
8568,got
8252,going
8095,think
8009,people
8004,would
7752,need
7660,ll
7372,us
7363,am
7346,want
7298,follow
7283,happy
7207,make
7110,has
6971,tonight
6960,right
6916,really
6622,much
6539,been
6420,work
6408,night
6290,had
6091,thank
6064,here
6056,come
5927,did
5925,only
5862,why
5828,them
5806,well
5806,its
5704,should
5698,still
5645,last
5617,off
5568,let
5533,she
5528,way
5398,best
5332,hope
5182,ve
5173,life
5120,her
5043,never
5016,his
4925,oh
4879,over
4872,then
4783,say
4755,than
4755,twitter
4739,please
4721,show
4693,first
4685,im
4662,next
4546,week
4542,game
4514,better
4376,always
4353,tomorrow
4313,yes
4311,year
4280,their
4262,take
4244,down
4240,man
4234,where
4154,wait
4115,him
4090,any
4056,could
4040,were
4020,morning
4001,haha
3982,everyone
3954,hey
3944,even
3872,getting
3854,ever
3848,looking
3841,look
3793,sure
3739,very
3729,awesome
3715,home
3693,feel
3652,big
3608,after
3581,being
3513,because
3437,something
3435,again
3416,fun
3393,weekend
3348,nice
3327,keep
3319,into
3307,someone
3296,yeah
3285,world
3273,things
3266,thing
3243,gonna
3231,school
3230,free
3205,doing
3194,bad
3171,check
3122,guys
3098,help
3081,th
3076,live
3025,every
3021,miss
3020,watching
3017,tweet
2995,those
2992,tell
2988,other
2986,music
2964,soon
2953,amazing
2925,long
2922,days
2910,does
2885,call
2880,little
2863,may
2863,coming
2862,many
2825,friends
2824,most
2821,before
2819,give
2809,hate
2799,wish
2775,same
2764,god
2747,pm
2724,stop
2707,made
2703,said
2700,ready
2693,two
2681,girl
2665,didn
2655,shit
2640,done
2605,watch
2603,find
2593,start
2591,play
2569,old
2542,pretty
2532,another
2510,birthday
2508,cool
2469,also
2446,win
2443,anyone
2423,talk
2421,real
2401,excited
2391,use
2352,these
2344,hard
2326,friday
2322,hear
2316,working
2292,having
2274,com
2257,around
2257,ur
2254,team
2242,sorry
2240,maybe
2236,dont
2220,thought
2163,while
2160,try
2147,put
2145,ya
2139,makes
2133,glad
2127,already
2115,though
2114,wanna
2112,ok
2093,forward
2071,trying
2069,beautiful
2065,nothing
2063,away
2035,wow
2034,house
2031,yet
2028,true
2009,party
2007,following
2003,friend
1991,job
1980,everything
1972,won
1971,lot
1970,ass
1967,looks
1963,welcome
1956,song
1956,guy
1948,stay
1946,mom
1939,sleep
1938,st
1929,mean
1917,doesn
1916,years
1907,saw
1905,must
1904,until
1902,favorite
1890,book
1878,making
1874,through
1859,family
1851,might
1816,name
1810,class
1806,read
1806,person
1794,fuck
1792,food
1779,hit
1778,end
1765,actually
1763,damn
1747,phone
1738,which
1725,money
1719,season
1716,place
1715,few
1698,anything
1689,congrats
1688,movie
1684,since
1683,guess
1680,www
1680,omg
1671,believe
1663,such
1662,both
1659,run
1658,kids
1652,baby
1651,video
1634,news
1634,open
1631,crazy
1628,own
1626,hot
1623,finally
1612,head
1605,change
1603,remember
1600,gotta
1600,else
1573,enjoy
1567,sounds
1567,playing
1555,left
1551,city
1542,summer
1542,stuff
1535,facebook
1532,meet
1522,far
1514,early
1510,followers
1509,talking
1509,hi
1509,cause
1507,part
1499,thinking
1496,funny
1495,support
1492,says
1486,word
1486,ha
1479,high
1476,mind
1476,went
1470,email
1461,without
1460,enough
1457,luck
1447,hours
1439,times
1434,care
1428,tweets
1421,post
1420,heart
1410,heard
1405,hell
1403,bring
1397,ask
1395,needs
1391,bed
1390,almost
1383,myself
1377,sunday
1361,seen
1359,business
1359,send
1355,fan
1355,girls
1350,saturday
1345,cant
1342,idea
1341,feeling
1324,isn
1322,fans
1319,car
1317,haven
1313,sweet
1310,hour
1307,dude
1300,used
1283,least
1275,late
1275,kind
1274,face
1272,full
1262,okay
1260,probably
1253,wrong
1246,top
1246,eat
1245,buy
1241,yourself
1241,monday
1239,gets
1238,lmao
1228,room
1226,hair
1223,taking
1221,together
1215,coffee
1213,bro
1212,super
1211,story
1210,tv
1203,bitch
1202,found
1202,social
1202,set
1201,meeting
1198,yesterday
1195,sad
1191,event
1186,break
1186,perfect
1182,lunch
1181,seeing
1181,called
1177,black
1176,point
1176,sometimes
1171,whole
1169,once
1169,told
1166,reading
1157,la
1150,rock
1148,special
1142,listening
1135,saying
1133,forget
1129,text
1112,lost
1112,dinner
1109,waiting
1105,half
1101,women
1099,line
1098,minutes
1093,words
1089,state
1089,boy
1081,join
1080,definitely
1077,media
1076,weather
1073,bit
1067,came
1065,games
1064,tired
1061,starting
1060,fucking
1058,course
1056,leave
1047,seriously
1045,month
1045,agree
1044,goes
1038,interesting
1037,started
1032,cute
1032,red
1030,problem
1029,wants
1024,mother
1019,move
1019,office
1012,bout
1011,during
1008,learn
1007,happen
1005,hahaha
1004,wonder
1003,beer
996,pick
993,totally
992,moment
988,means
987,white
985,thats
985,question
985,drink
975,comes
975,each
974,sick
973,yo
972,later
968,hello
965,missed
965,loved
963,dog
956,wanted
946,list
946,dream
945,page
942,gone
940,men
939,weeks
938,nd
937,less
937,fall
936,info
935,either
933,online
928,chance
928,using
927,future
926,close
926,reason
925,wonderful
924,different
919,ago
919,chicago
918,lots
917,took
916,yea
914,writing
908,listen
905,running
905,seems
904,visit
903,number
899,outside
898,past
897,tickets
897,worth
894,site
892,till
891,proud
891,walk
888,others
887,ah
887,rest
884,mine
880,second
879,between
877,share
876,blog
873,austin
868,college
867,ugh
865,students
864,side
861,busy
860,art
860,beat
856,cold
853,mad
853,spring
850,boys
849,christmas
849,dm
849,rain
848,ff
844,drive
838,turn
837,ill
833,three
831,pay
829,understand
823,tho
822,wasn
821,young
819,club
819,dance
818,power
817,able
814,cuz
