occurrences,term
3521,thanks for the
1365,looking forward to
1325,thank you for
1183,for the follow
1118,can wait to
1098,going to be
833,one of the
809,to see you
755,if you re
701,is going to
691,for the rt
662,let me know
644,to go to
573,you want to
561,would love to
542,of the day
530,thanks for following
523,you so much
515,you have to
513,you for the
494,one of my
492,in the world
491,wait to see
471,do you have
459,what do you
458,thanks so much
457,how are you
444,can wait for
441,the rest of
441,be able to
437,the end of
424,if you want
406,so much for
405,if you are
403,please follow me
394,look forward to
393,what are you
390,do you think
380,out of the
378,is the best
369,to see the
369,check it out
366,thank you so
364,you need to
360,you re not
360,want to be
358,you re welcome
356,let us know
355,we need to
346,don want to
344,all the time
339,need to get
332,if you have
332,we ll be
329,in the morning
328,when you re
319,that would be
316,the first time
313,go to the
313,would like to
308,happy birthday to
307,it would be
304,going to the
304,to meet you
302,to all the
299,of the year
298,are going to
296,shout out to
296,how do you
293,hope to see
293,be sure to
292,if you don
287,it will be
286,have to be
282,for the first
280,check out the
279,this is the
278,rt if you
276,there is no
276,to be in
275,in love with
274,to be the
274,one of those
273,end of the
272,happy new year
271,in front of
265,at the end
263,want to go
261,if you can
260,know how to
260,happy mothers day
257,in my life
255,of the best
255,thanks for sharing
253,on my way
252,you know what
249,rest of the
248,do you know
246,as long as
245,re going to
245,we will be
244,happy mother day
243,know if you
243,want to see
241,are you going
239,it going to
239,you ll be
239,for the ff
238,don know what
238,some of the
238,of my life
237,where are you
237,see you there
236,all of the
236,is one of
235,the only one
235,to make it
234,for the mention
234,for all the
234,trying to get
232,you going to
232,part of the
231,thank you to
225,to do it
224,have great day
223,to talk to
223,don forget to
222,to have you
220,ready for the
219,did you know
219,make sure you
219,what to do
218,getting ready for
218,are you doing
216,back to the
215,on the way
210,check out our
209,you re in
209,hope you re
207,need to be
207,it was great
207,the same thing
206,you guys are
206,you know it
206,you re the
204,hope you have
204,just want to
203,for the next
203,back in the
201,awkward moment when
200,the fact that
199,forward to seeing
198,is in the
196,at the same
195,know what you
194,as much as
193,you can do
193,much for the
193,don have to
192,go back to
191,if you need
191,the way to
190,have great weekend
190,thanks to all
190,for me to
188,not going to
188,getting ready to
188,the same time
186,moment when you
186,go to bed
186,you know you
185,you will be
185,to get the
185,out of my
184,hit me up
184,was going to
184,you know that
184,have to go
184,ll have to
184,who wants to
184,so proud of
184,what you think
183,my way to
183,spread the word
182,have no idea
181,do you want
181,all the way
181,me know if
181,to do with
181,love you too
180,so much fun
179,you are the
179,thought it was
178,forward to the
178,welcome to the
177,love to see
177,am going to
177,to check out
177,to get to
177,have to do
176,up in the
176,to get my
175,we have to
175,way to go
175,of my favorite
174,to all of
174,to see what
174,will be in
173,did you get
173,what is the
173,you are so
173,so excited to
173,when you get
173,for the shout
172,you in the
172,let you know
172,wait for the
171,are the best
171,as soon as
171,you at the
171,you like to
171,you and your
170,is gonna be
170,it time to
170,to be on
169,time to get
169,the only thing
169,follow me back
169,see you at
168,no matter what
168,ll be there
168,for you to
167,get out of
167,excited to see
165,for following me
164,what is your
164,have you been
164,to watch the
164,going to have
164,you don have
164,you ve got
163,be in the
162,you re going
162,we ve got
162,all is well
161,hope you are
160,follow me please
160,of the world
160,the shout out
160,cinco de mayo
159,that awkward moment
159,you can get
158,great to see
158,so we can
157,stay tuned for
157,will be the
157,thanks for your
156,want to know
156,keep up the
156,we ll see
156,go to sleep
156,of the week
155,day to all
155,had great time
155,used to be
155,to see it
154,thanks for all
153,don know how
153,want to do
153,cant wait to
153,love you so
152,hope all is
152,be on the
152,be at the
152,get back to
151,going to get
150,make sure to
150,last day of
150,in my head
150,on the radio
149,has to be
149,what kind of
149,in the middle
149,you re so
149,to see if
148,to listen to
148,it to the
147,there will be
147,to follow me
146,so excited for
146,you for your
145,if you like
145,you follow me
144,is the only
143,forward to it
143,see you in
143,it gonna be
142,to find out
142,me and my
142,to talk about
141,will you be
141,thx for the
141,me if you
140,you don know
140,needs to be
140,why are you
140,all of you
140,why is it
140,miss you too
139,what did you
139,by the way
139,take care of
139,my best friend
139,for the day
138,for the weekend
138,will have to
138,ready to go
138,out to the
138,just have to
137,you ve been
137,to figure out
137,really want to
136,will be at
136,can do it
135,going to see
135,get ready for
135,is the most
135,when it comes
135,me in the
135,oh my god
135,you like it
135,want to get
134,see you soon
134,be part of
133,what you re
133,we love you
132,proud of you
132,to everyone who
132,you have any
131,to work on
131,and it was
131,have to say
130,thanks for coming
130,have to get
130,we want to
130,to get back
129,feel free to
129,and you re
129,to all my
129,hope you had
128,to see my
128,the middle of
128,when you have
128,in the face
128,to get it
127,in your life
127,in the same
127,we re going
127,is on the
127,me want to
126,congrats on the
126,excited to be
126,it ll be
126,is about to
126,talk to me
125,be the best
125,of the most
125,check out my
125,it is the
125,and we ll
124,glad to hear
124,get to see
124,waiting for the
124,we ll have
124,don even know
124,first day of
124,going to bed
123,what happened to
123,no matter how
123,it looks like
123,go to school
122,what it is
122,thanks to for
122,and thanks for
122,in the first
122,all of our
122,to catch up
122,know what to
122,that you re
122,what your favorite
121,you are not
121,im going to
121,today is the
121,so much to
120,it comes to
120,to hear that
120,just wanted to
120,check us out
120,good to see
120,nice to meet
120,to get out
120,the best of
120,and thank you
120,going to do
119,here we go
119,the other day
119,for the new
119,most of the
119,of the night
119,day of the
119,know you re
119,the world is
119,to come to
119,wait to get
119,supposed to be
119,up for the
119,on the road
119,as well as
119,for some reason
118,need to do
118,to tell you
118,in order to
117,that you can
117,makes me feel
117,ll be in
117,do you like
117,can make it
117,you re right
117,thanks to everyone
117,to work with
117,you have the
116,that you are
116,it in the
116,why do you
116,one of our
116,the way you
116,good luck to
116,make it to
115,you on the
115,it should be
115,but it was
115,on my phone
115,did you see
115,for all of
115,who you are
114,like to see
114,what are your
114,to make the
